clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,timing_variant,technique,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,status
long_low_short-rep01__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,p,32,32,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep02__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,p,32,32,,2911600852117595179,20260826,long_low_short-rep02,2,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep02__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep03__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,p,32,32,,1399299735963476573,20260826,long_low_short-rep03,3,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep03__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep04__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,p,32,32,,3278601921478672932,20260826,long_low_short-rep04,4,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep04__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep01__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,mf,64,64,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep02__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,mf,64,64,,2911600852117595179,20260826,long_low_short-rep02,2,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep02__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep03__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,mf,64,64,,1399299735963476573,20260826,long_low_short-rep03,3,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep03__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep04__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,mf,64,64,,3278601921478672932,20260826,long_low_short-rep04,4,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep04__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep01__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,f,96,96,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,f,96,96,,2911600852117595179,20260826,long_low_short-rep02,2,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,f,96,96,,1399299735963476573,20260826,long_low_short-rep03,3,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,36,f,96,96,,3278601921478672932,20260826,long_low_short-rep04,4,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,p,32,32,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,p,32,32,,2911600852117595179,20260826,long_low_short-rep02,2,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,p,32,32,,1399299735963476573,20260826,long_low_short-rep03,3,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,p,32,32,,3278601921478672932,20260826,long_low_short-rep04,4,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,mf,64,64,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep02__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,mf,64,64,,2911600852117595179,20260826,long_low_short-rep02,2,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep02__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep03__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,mf,64,64,,1399299735963476573,20260826,long_low_short-rep03,3,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep03__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep04__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,mf,64,64,,3278601921478672932,20260826,long_low_short-rep04,4,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep04__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep01__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,f,96,96,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep02__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,f,96,96,,2911600852117595179,20260826,long_low_short-rep02,2,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep02__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep03__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,f,96,96,,1399299735963476573,20260826,long_low_short-rep03,3,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep03__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep04__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,40,f,96,96,,3278601921478672932,20260826,long_low_short-rep04,4,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep04__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep01__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,43,p,32,32,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep02__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,43,p,32,32,,2911600852117595179,20260826,long_low_short-rep02,2,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep02__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep02__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep03__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,43,p,32,32,,1399299735963476573,20260826,long_low_short-rep03,3,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep03__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep03__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep04__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,43,p,32,32,,3278601921478672932,20260826,long_low_short-rep04,4,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep04__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep04__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_low_short-rep01__t-pizzicato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,43,mf,64,64,,1821681125536737200,20260826,long_low_short-rep01,1,0.5,1.0,57.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_low_short-rep01__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_low_short-rep01__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.wav,planned
