clip_id,source,model,profile,prompt_id,pattern,register,technique,analysis_tier,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,status
long_low-rep01__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,7205373261057901599,20260826,long_low-rep01,1,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep01__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep01__t-sustain__d-p__p-constant.wav,planned
long_low-rep02__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,1815553047142385832,20260826,long_low-rep02,2,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep02__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep02__t-sustain__d-p__p-constant.wav,planned
long_low-rep03__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,2945143834683193329,20260826,long_low-rep03,3,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep03__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep03__t-sustain__d-p__p-constant.wav,planned
long_low-rep04__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,8133573275731123130,20260826,long_low-rep04,4,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep04__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep04__t-sustain__d-p__p-constant.wav,planned
long_low-rep05__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,6474818733622293965,20260826,long_low-rep05,5,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep05__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep05__t-sustain__d-p__p-constant.wav,planned
long_low-rep06__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,8156084379002534638,20260826,long_low-rep06,6,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep06__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep06__t-sustain__d-p__p-constant.wav,planned
long_low-rep07__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,6761526467910563414,20260826,long_low-rep07,7,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep07__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep07__t-sustain__d-p__p-constant.wav,planned
long_low-rep08__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,2550590710218286026,20260826,long_low-rep08,8,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep08__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep08__t-sustain__d-p__p-constant.wav,planned
long_low-rep09__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,1885686101753946971,20260826,long_low-rep09,9,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep09__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep09__t-sustain__d-p__p-constant.wav,planned
long_low-rep10__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,4211638860551897937,20260826,long_low-rep10,10,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep10__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep10__t-sustain__d-p__p-constant.wav,planned
long_low-rep11__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,3412765051184177567,20260826,long_low-rep11,11,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep11__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep11__t-sustain__d-p__p-constant.wav,planned
long_low-rep12__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,1346515943994214281,20260826,long_low-rep12,12,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep12__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep12__t-sustain__d-p__p-constant.wav,planned
long_low-rep13__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,3561379943274705471,20260826,long_low-rep13,13,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep13__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep13__t-sustain__d-p__p-constant.wav,planned
long_low-rep14__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,3926236210827912092,20260826,long_low-rep14,14,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep14__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep14__t-sustain__d-p__p-constant.wav,planned
long_low-rep15__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,8862798889225223581,20260826,long_low-rep15,15,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep15__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep15__t-sustain__d-p__p-constant.wav,planned
long_low-rep16__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,3314066023275552708,20260826,long_low-rep16,16,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep16__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep16__t-sustain__d-p__p-constant.wav,planned
long_low-rep17__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,3911347807785412070,20260826,long_low-rep17,17,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep17__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep17__t-sustain__d-p__p-constant.wav,planned
long_low-rep18__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,657257644069766704,20260826,long_low-rep18,18,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep18__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep18__t-sustain__d-p__p-constant.wav,planned
long_low-rep19__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,1379302711388715170,20260826,long_low-rep19,19,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep19__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep19__t-sustain__d-p__p-constant.wav,planned
long_low-rep20__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,6808541825393711296,20260826,long_low-rep20,20,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep20__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep20__t-sustain__d-p__p-constant.wav,planned
long_low-rep21__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,6851149225745343317,20260826,long_low-rep21,21,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep21__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep21__t-sustain__d-p__p-constant.wav,planned
long_low-rep22__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,2701178112148023071,20260826,long_low-rep22,22,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep22__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep22__t-sustain__d-p__p-constant.wav,planned
long_low-rep23__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,6619553014130263788,20260826,long_low-rep23,23,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep23__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep23__t-sustain__d-p__p-constant.wav,planned
long_low-rep24__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,6811252380816733076,20260826,long_low-rep24,24,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep24__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep24__t-sustain__d-p__p-constant.wav,planned
long_low-rep25__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,6354317077840831660,20260826,long_low-rep25,25,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep25__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep25__t-sustain__d-p__p-constant.wav,planned
long_low-rep26__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,964894041919250633,20260826,long_low-rep26,26,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep26__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep26__t-sustain__d-p__p-constant.wav,planned
long_low-rep27__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,7834318025617731255,20260826,long_low-rep27,27,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep27__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep27__t-sustain__d-p__p-constant.wav,planned
long_low-rep28__t-sustain__d-p__p-constant,model,VIOLET,constant,long_low,long,low,sustain,real_counterfactual_primary,36,p,32,32,,8655320967773579847,20260826,long_low-rep28,28,1.0,1.0,30,57.0,True,0.75,data/midi/full/model/long_low-rep28__t-sustain__d-p__p-constant.mid,data/model_audio/long_low-rep28__t-sustain__d-p__p-constant.wav,planned
